	DBS1_GRCh37	DBS1_GRCh38	DBS1_mm9	DBS1_mm10	DBS1_rn6
TA>CG	7.55191939583364e-06	7.54956985249432e-06	7.26514456784565e-06	7.26488848106716e-06	7.12756868089532e-06
TA>CT	0.000702178465678837	0.00070196000482795	0.000675514104189092	0.00067549029320651	0.000662722279998479
TA>GC	2.01051099147359e-05	2.00988548390908e-05	1.93416431541321e-05	1.93409613866821e-05	1.8975381521324e-05
TA>GG	7.03178719903451e-05	7.0295994785477e-05	6.76476374992781e-05	6.7645253009142e-05	6.63666328830386e-05
TA>GT	0.00115029235830579	0.00114993448084351	0.00110661142424139	0.001106572417646	0.00108565615669267
TC>AA	1.09027710482896e-05	1.10480988298362e-05	1.13457300586367e-05	1.13459015269383e-05	1.13214904797758e-05
TC>AG	3.09078555405642e-06	3.13198398020127e-06	3.21635833772362e-06	3.21640694662748e-06	3.20948675068874e-06
TC>AT	0.00246062539254977	0.00249342413957771	0.00256059595818773	0.00256063465653838	0.00255512537433472
TC>CA	4.42112367279268e-06	4.48005475485101e-06	4.60074558341048e-06	4.60081511459336e-06	4.59091632299166e-06
TC>CG	3.3008389412253e-05	3.34483726040912e-05	3.43494579756891e-05	3.43499770999051e-05	3.42760720947341e-05
TC>CT	0.00190048302676608	0.00192581539235676	0.00197769606526694	0.00197772595423696	0.0019734708175756
TC>GA	6.42163212202013e-05	6.50722885206865e-05	6.68253091527042e-05	6.682631908527e-05	6.66825402570281e-05
TC>GG	0.000411104486316242	0.000416584276978227	0.000427806885697219	0.000427813351153364	0.000426892897907143
TC>GT	0.00510129654553001	0.005169293947905	0.00530855259624286	0.00530863282453079	0.00529721114191345
TG>AA	0.00137034828772081	0.00138117400432027	0.00139793221830418	0.00139794933058722	0.00139292339733344
TG>AC	0.000237060251233454	0.000238933021185331	0.000241832069881818	0.000241835030181877	0.000240965580414617
TG>AT	0.00241061268131908	0.00242965646015462	0.00245913623803873	0.00245916634066802	0.00245032510041867
TG>CA	0.00027907092866723	0.000281275581901718	0.000284688386063405	0.000284691870973601	0.000283668341500751
TG>CC	0.000103026185135214	0.000103840089375903	0.000105100013492942	0.000105101300036849	0.000104723437901711
TG>CT	0.0018504703155354	0.00186508898393613	0.0018877186889509	0.00188774179677836	0.00188095495260355
TG>GA	0.000407103469417787	0.000410319576465947	0.000415298111569196	0.000415303195291239	0.00041381008957278
TG>GC	8.89226005681604e-05	8.96250868496873e-05	9.07125359176943e-05	9.07136463424844e-05	9.03875109656514e-05
TG>GT	0.00190048302676608	0.00191549679431277	0.00193873811297659	0.00193876184533993	0.00193179157294418
TT>AA	0.00549139569312937	0.00554720337294364	0.00506476937531443	0.00506487644617206	0.00499931304570189
TT>AC	0.000720183041721884	0.000727502081697526	0.000664232049221564	0.000664246091301253	0.000655647612551066
TT>AG	0.000418106265888538	0.00042235537520773	0.00038562360635363	0.000385631758561005	0.000380639863953258
TT>CA	0.000725184312844953	0.000732554179487092	0.000668844771785603	0.000668858911379734	0.00066020072097156
TT>CC	0.00542137789740641	0.00547647400388971	0.00500019125941789	0.00500029696507333	0.00493556952781498
TT>CG	8.38213040226304e-05	8.46731589531287e-05	7.73092301732876e-05	7.73108645153403e-05	7.63100971274714e-05
TT>GA	0.00186047285778153	0.0018793803777186	0.00171593279382237	0.0017159690691949	0.00169375633242359
TT>GC	0.00106026947809055	0.00107104473138802	0.00097789718357619	0.000977917856637954	0.000965258985144624
TT>GG	0.0016104093016281	0.0016267754882403	0.00148529666562044	0.00148532806527086	0.00146610091139891
