	DBS7_GRCh37	DBS7_GRCh38	DBS7_mm9	DBS7_mm10	DBS7_rn6
CT>TG	9.03608701287993e-18	9.036966293971e-18	9.79798171680179e-18	9.79788871975156e-18	9.77259593283436e-18
GC>AA	9.03608701287993e-18	8.98704204614045e-18	8.93995010010048e-18	8.93964977155681e-18	8.98241972855073e-18
GC>AG	7.29684017633004e-05	7.25723528062227e-05	7.21920749233778e-05	7.21896497039433e-05	7.25350265690491e-05
GC>AT	0.000349848501604865	0.000347949636742163	0.000346126386618934	0.000346114758854523	0.000347770675331058
GC>CA	0.000669709988786456	0.000666075018906428	0.000662584797241961	0.000662562538378658	0.000665732435633739
GC>CG	0.00264885294072255	0.00263447582104781	0.00262067121297193	0.00262058317418425	0.00263312082750658
GC>TA	6.23729900004102e-06	6.20344495220314e-06	6.170939007149e-06	6.17073170072064e-06	6.20025432590228e-06
TA>AT	0.0557758468272899	0.0553124433348494	0.0557473915480153	0.0557450179423308	0.0552592660985486
TA>CG	0.00304867979969954	0.00302335039733496	0.00304712444841303	0.00304699470831737	0.00302044375628267
TA>CT	0.0290874039905759	0.0288457365778515	0.0290725644094488	0.029071326561323	0.0288180043632215
TA>GC	0.00150934639263813	0.00149680626228714	0.0015085763662635	0.00150851213428171	0.00149536723671699
TA>GG	0.00430813440547705	0.00427234105328317	0.00430593651562627	0.0043057531779829	0.00426823363592731
TA>GT	0.026288615977737	0.0260702017868555	0.0262752042600861	0.0262740855176219	0.0260451379640112
TC>AA	0.0195915160898724	0.0196938448407757	0.0211814195816134	0.0211815844463469	0.0213554945712861
TC>AG	3.99826858976989e-06	4.01915200832158e-06	4.32273869012519e-06	4.32277233598918e-06	4.35826419822167e-06
TC>AT	0.00228900876764326	0.0023009645247641	0.00247476790009667	0.0024747871623538	0.00249510625348191
TC>CA	0.0027088269695691	0.00272297548563787	0.00292865546255982	0.00292867825763267	0.00295272399429518
TC>CG	0.00162929445033123	0.00163780444339104	0.00176151601622602	0.00176152972691559	0.00177599266077533
TC>CT	0.00918602208499631	0.00923400173911883	0.00993149214056263	0.00993156944193512	0.0100131119954143
TC>GA	9.03608701287993e-18	9.08328353880676e-18	9.76938943968292e-18	9.76946547933552e-18	9.84967708798096e-18
TC>GG	0.000705694406094385	0.000709380329468758	0.000762963378807096	0.000762969317302089	0.000769233630986125
TC>GT	9.03608701287993e-18	9.08328353880676e-18	9.76938943968292e-18	9.76946547933552e-18	9.84967708798096e-18
TG>AA	0.0225902175321999	0.0225865373304628	0.0239423640212732	0.0239424816164798	0.024104135497375
TG>AC	0.00261886592629928	0.00261843928344303	0.00277561919184672	0.00277563282456536	0.00279437323022666
TG>AT	0.00128944162020079	0.00128923155558836	0.00136662166316117	0.00136662837545393	0.00137585552175282
TG>CA	0.0238896548238751	0.0238857629291177	0.0253195796508154	0.0253197040103481	0.0254906565658081
TG>CC	0.0010495455048146	0.00104937452199053	0.00111236647001491	0.00111237193350902	0.00111988240142672
TG>CT	9.03608701287993e-18	9.03461493218511e-18	9.57694560850925e-18	9.57699264659189e-18	9.64165419894997e-18
TG>GA	0.00824642896640039	0.00824508552992558	0.00874002226440281	0.00874006519185655	0.00879907601120988
TG>GC	0.00387832053207679	0.00387768870983166	0.00411045895586459	0.00411047914477617	0.00413823211193871
TG>GT	0.00870622985422393	0.0087048115109881	0.00922734471793315	0.00922739003891765	0.00928969115850159
TT>AA	0.234898279648981	0.235387282038808	0.225085871605868	0.225088980202321	0.224482403969931
TT>AC	0.0399826858976989	0.0400659203470312	0.0383124887839776	0.0383130179067781	0.038209770888499
TT>AG	0.0538766692471492	0.0539888276676245	0.0516260786364098	0.0516267916293834	0.0514876662722523
TT>CA	0.0976577103051295	0.0978610104476238	0.0935782538548653	0.0935795462373053	0.0933273653951587
TT>CC	0.0353846770194635	0.0354583395071226	0.0339065525738202	0.0339070208474985	0.0338156472363216
TT>CG	0.0026688442836714	0.00267440018316433	0.0025573586263305	0.00255739394527743	0.0025505022068073
TT>GA	0.0435811276284918	0.043671853178264	0.0417606127745356	0.0417611895183881	0.0416486502684639
TT>GC	0.00366841143111387	0.00367604819184011	0.00351517084592994	0.00351521939294688	0.00350574647901978
TT>GG	9.03608701287993e-18	9.05489799842905e-18	8.65862246517892e-18	8.65874204693182e-18	8.63540822080075e-18
